Year,Kilometers_Driven,Price,
2014,72000,27000,
2014,110000,15000,
2014,77469,6340,
2014,78500,28000,
2014,32982,18550,
2014,55431,6980,
2014,19698,1530,
2014,35487,4740,
2014,46374,8850,
2014,75000,3850,
2014,52000,4250,
2014,53000,3300,
2014,56000,29500,
2014,107000,16500,
2014,58000,8100,
2014,30180,4650,
2014,53000,3900,
2014,40000,5250,
2014,25500,2150,
2014,55000,11110,
2014,32700,20000,
2014,53753,16750,
2014,42000,7750,
2014,88500,2600,
2014,44965,17950,
2014,45044,3700,
2014,38800,2850,
2014,48000,26500,
2014,147898,4420,
2014,29000,8350,
2014,40000,22950,
2014,51000,33500,
2014,37382,32000,
2014,52000,3500,
2014,90000,5350,
2014,76000,10000,
2014,104000,3000,
2014,37245,11960,
2014,30000,5950,
2014,64000,3500,
2014,118000,10750,
2014,82002,18500,
2014,60000,3700,
2014,16514,3750,
2014,57000,18000,
2014,88500,4350,
2014,45051,5960,
2014,49000,6900,
2014,61726,20770,
2014,77815,4250,
2014,51495,21950,
2014,133944,3500,
2014,68000,6750,
2014,45000,3250,
2014,25000,26000,
2014,59364,26500,
2014,41380,11770,
2014,37000,3250,
2014,17400,3100,
2014,85000,3500,
2014,79271,16500,
2014,95649,29670,
2014,11900,28500,
2014,30000,3200,
2014,15000,3750,
2014,20600,2600,
2014,67000,2500,
2014,38000,39000,
2014,31465,6500,
2014,45000,23000,
2014,98000,5500,
2014,35000,4250,
2014,79000,6250,
2014,56000,2790,
2014,8700,2550,
2014,18000,1000,
2014,13361,6800,
2014,47399,5600,
2014,43900,6750,
2014,47000,25500,
2014,35000,5250,
2014,9500,3500,
2014,79926,29770,
2014,55000,4750,
2014,19000,44000,
2014,59962,6900,
2014,7400,4350,
2014,67407,4650,
2014,107825,20500,
2014,69330,23500,
2014,49964,23890,
2014,35000,12750,
2014,64000,4150,
2014,58407,6160,
2014,49500,6000,
2014,55000,7100,
2014,48000,29000,
2014,120000,30000,
2014,75000,7500,
2014,55818,5700,
2014,35214,3200,
2014,60000,23500,
2014,56778,15460,
2014,41016,5080,
2014,74980,4080,
2014,44600,4550,
2014,67000,5600,
2014,49000,2300,
2014,40000,2490,
2014,58500,2750,
2014,25000,2750,
2014,33372,6210,
2014,60138,4090,
2014,84000,10750,
2014,47000,41500,
2014,33450,4400,
2014,64000,7250,
2014,57000,3950,
2014,23000,6900,
2014,70089,5350,
2014,72000,4750,
2014,71649,6750,
2014,58472,3410,
2014,25789,6850,
2014,59923,6460,
2014,60000,20000,
2014,28000,7750,
2014,64889,11500,
2014,96000,4800,
2014,37400,1890,
2014,95000,9450,
2014,28246,4940,
2014,51000,3100,
2014,33855,5090,
2014,37632,4500,
2014,81000,6100,
2014,26856,4150,
2014,63003,6750,
2014,80000,9400,
2014,56658,5390,
2014,67000,5500,
2014,52398,2470,
2014,36657,3300,
2014,85000,38750,
2014,48000,26500,
2014,35000,3800,
2014,68462,4150,
2014,90000,7250,
2014,45000,3850,
2014,40000,3950,
2014,40000,5250,
2014,50000,51000,
2014,89614,6010,
2014,62505,5950,
2014,48000,2750,
2014,18000,2500,
2014,72022,9230,
2014,34000,22000,
2014,69000,5190,
2014,57000,3890,
2014,93325,14450,
2014,64000,15650,
2014,52782,4850,
2014,62000,5350,
2014,86925,17180,
2014,66000,5700,
2014,42070,11570,
2014,30000,6000,
2014,32000,2100,
2014,28238,5550,
2014,24000,11510,
2014,54000,3250,
2014,35000,23000,
2014,65213,9450,
2014,40748,6300,
2014,12400,4650,
2014,47000,11250,
2014,54000,4500,
2014,54000,5500,
2014,40000,24000,
2014,54546,5500,
2014,77395,14350,
2014,14262,27350,
2014,54173,5550,
2014,50000,13500,
2014,57456,21560,
2014,33000,43000,
2014,45000,3490,
2014,57319,4250,
2014,60000,5750,
2014,47674,5720,
2014,61517,4390,
2014,110000,14400,
2014,40000,3150,
2014,46566,4400,
2014,103788,5670,
2014,65000,10500,
2014,77000,2800,
2014,54890,2450,
2014,70000,8250,
2014,35059,5750,
2014,36000,5000,
2014,51355,27000,
2014,35642,6690,
2014,52895,6020,
2014,71800,2900,
2014,45000,6850,
2014,45000,2480,
2014,33000,3250,
2014,42365,5500,
2014,41089,28790,
2014,56000,34500,
2014,95000,4500,
2014,194000,10500,
2014,56000,4250,
2014,48000,5200,
2014,65000,6990,
2014,25000,44000,
2014,52000,49000,
2014,72465,5900,
2014,36000,3250,
2014,32000,4300,
2014,42277,3850,
2014,46000,23250,
2014,47303,5210,
2014,82621,4420,
2014,61000,8250,
2014,49800,4000,
2014,57000,5750,
2014,43772,6350,
2014,80000,10750,
2014,55804,4760,
2014,52000,24500,
2014,43521,4250,
2014,49386,4860,
2014,67771,7060,
2014,30000,3250,
2014,34200,6500,
2014,160000,12000,
2014,32000,4350,
2014,62700,6800,
2014,74000,5700,
2014,42355,4000,
2014,9759,2750,
2014,75216,5100,
2014,59451,3690,
2014,56000,5750,
2014,70963,7830,
2014,97236,4400,
2014,55000,8500,
2014,83558,6980,
2014,21000,24500,
2014,37000,3500,
2014,49000,8900,
2014,79870,5350,
2014,45535,19410,
2014,53000,3800,
2014,60000,3250,
2014,38000,38950,
2014,32805,3600,
2014,56000,7000,
2014,34669,2900,
2014,102418,10100,
2014,48800,4250,
2014,62000,3750,
2014,60336,24940,
2014,26008,1970,
2014,62000,10550,
2014,62012,20120,
2014,81000,9000,
2014,70000,18000,
2014,83274,5790,
2014,66000,4450,
2014,41123,3400,
2014,48000,21600,
2014,64241,3670,
2014,79000,41000,
2014,44282,5990,
2014,21727,3350,
2014,73557,7750,
2014,85670,6250,
2014,85071,9750,
2014,83128,7450,
2014,24000,25000,
2014,70669,9000,
2014,40000,4450,
2014,71000,5450,
2014,43081,5250,
2014,41000,3250,
2014,55000,5840,
2014,46738,6100,
2014,52108,5490,
2014,105044,10750,
2014,58000,4500,
2014,49663,8420,
2014,66882,25020,
2014,41460,3950,
2014,50000,6500,
2014,19000,4750,
2014,54230,4500,
2014,14000,3000,
2014,67000,7200,
2014,58000,18500,
2014,52000,5990,
2014,60000,24000,
2014,33485,3590,
2014,64557,29930,
2014,52000,4100,
2014,84056,6750,
2014,55000,5640,
2014,55000,9800,
2014,46000,4450,
2014,72563,5000,
2014,51000,5650,
2014,48000,4500,
2014,97000,8000,
2014,85512,5800,
2014,44300,2300,
2014,74500,7950,
2014,47003,3670,
2014,80000,6000,
2014,27000,7950,
2014,29202,3900,
2014,55277,3900,
2014,25135,3750,
2014,89230,23650,
2014,87200,7750,
2014,66355,4120,
2014,41125,2700,
2014,69876,3900,
2014,102000,16500,
2014,42000,3450,
2014,55012,3700,
2014,79200,5500,
2014,25000,3500,
2014,67668,3100,
2014,171000,16750,
2014,77795,9500,
2014,11000,5950,
2014,47052,5990,
2014,18600,21000,
2014,116905,4000,
2014,53000,3260,
2014,64158,17890,
2014,71000,7450,
2014,68218,4900,
2014,52000,5950,
2014,57937,5400,
2014,79000,18500,
2014,67557,5170,
2014,45128,6750,
2014,91586,9470,
2014,57773,20040,
2014,87000,6500,
2014,60000,5900,
2014,70000,17550,
2014,180000,2500,
2014,73000,2750,
2014,90000,6500,
2014,48104,5490,
2014,50000,35000,
2014,32986,4240,
2014,23000,4250,
2014,48000,5100,
2014,62000,5700,
2014,41994,3410,
2014,60033,51520,
2014,55001,31000,
2014,28000,4950,
2014,58310,5390,
2014,45001,2550,
2014,50446,3540,
2014,110000,12900,
2014,45000,7500,
2014,38000,11600,
2014,20000,4500,
2014,136000,9500,
2014,82450,5850,
2014,62497,7520,
2014,55000,4200,
2014,74000,6400,
2014,22100,3550,
2014,65694,3250,
2014,36000,16250,
2014,54000,4900,
2014,75160,5700,
2014,44753,4940,
2014,23840,3000,
2014,81298,6500,
2014,56000,24000,
2014,62000,25000,
2014,66000,6800,
2014,69000,20000,
2014,53000,20500,
2014,52000,5250,
2014,55960,17250,
2014,43000,26500,
2014,72411,4250,
2014,56000,3200,
2014,64394,5450,
2014,35010,3500,
2014,19500,2850,
2014,30000,4900,
2014,62000,4250,
2014,46728,6150,
2014,58995,9250,
2014,71000,4800,
2014,48000,16000,
2014,75136,6150,
2014,32500,4050,
2014,35000,2850,
2014,9000,5500,
2014,25422,3250,
2014,78616,15500,
2014,29000,5750,
2014,58000,4590,
2014,48500,2850,
2014,39791,7490,
2014,17585,6350,
2014,11000,6100,
2014,51076,34880,
2014,55000,5990,
2014,74041,3880,
2014,105000,3850,
2014,58000,5470,
2014,45000,21500,
2014,74663,3250,
2014,61529,5650,
2014,81000,22750,
2014,18000,25700,
2014,57676,6690,
2014,16810,1600,
2014,10000,5500,
2014,80073,7110,
2014,82536,28630,
2014,52000,3450,
2014,60750,10500,
2014,50000,4300,
2014,54448,3700,
2014,158793,12990,
2014,90000,4500,
2014,81000,4100,
2014,35000,4500,
2014,75074,5250,
2014,63288,7770,
2014,57000,7000,
2014,12000,12750,
2014,70010,5250,
2014,89540,16800,
2014,64000,4250,
2014,32720,4500,
2014,51000,3750,
2014,25000,6150,
2014,61000,4350,
2014,58002,5750,
2014,49000,4750,
2014,88046,13990,
2014,8000,19750,
2014,17858,5320,
2014,59000,11500,
2014,163000,5000,
2014,40000,22500,
2014,70374,7340,
2014,56100,9750,
2014,61325,4400,
2014,33000,3990,
2014,71390,5270,
2014,41000,3500,
2014,142000,6000,
2014,69000,4500,
2014,77500,6600,
2014,48031,4980,
2014,69565,5550,
2014,33496,5500,
2014,30000,5250,
2014,66000,3500,
2014,70920,4750,
2014,44525,4650,
2014,39000,4450,
2014,19000,5250,
2014,66000,3470,
2014,52000,19500,
2014,54569,5990,
2014,22281,6500,
2014,38578,3960,
2014,73042,3990,
2014,54257,6250,
2014,54862,16670,
2014,93000,8250,
2014,51000,3850,
2014,55300,4750,
2014,74885,5400,
2014,80000,4850,
2014,58816,3450,
2014,40000,17500,
2014,79000,18250,
2014,30000,26000,
2014,45000,7500,
2014,33000,4050,
2014,59589,5600,
2014,86000,7850,
2014,69918,9430,
2014,12500,4150,
2014,115000,4500,
2014,53000,29000,
2014,87652,25710,
2014,30000,26000,
2014,74325,3510,
2014,45000,5000,
2014,30900,29500,
2014,48000,4750,
2014,31000,9500,
2014,79000,17750,
2014,54385,17000,
2014,65000,5310,
2014,62000,7750,
2014,60000,5500,
2014,47000,2650,
2014,45000,3990,
2014,67000,18750,
2014,43068,3500,
2014,21000,5400,
2014,45000,7000,
2014,32400,3950,
2014,45407,3390,
2014,63000,4350,
2014,72100,5450,
2014,100000,3000,
2014,37298,4900,
2014,42000,3600,
2014,72000,18500,
2014,61000,5350,
2014,42939,12490,
2014,37000,6450,
2014,69000,16250,
2014,58000,5750,
2014,68598,6170,
2014,55000,6000,
2014,42000,3500,
2014,18500,3950,
2014,45000,4800,
2014,82329,7500,
2014,70000,3250,
2014,68000,27500,
2014,65000,21500,
2014,43316,6220,
2014,60280,22450,
2014,49112,3790,
2014,83500,3000,
2014,45000,6750,
2014,38958,3410,
2014,20364,5200,
2014,64637,7520,
2014,21000,3750,
2014,47200,2850,
2014,45000,4750,
2014,80102,3500,
2014,90000,6750,
2014,123900,5400,
2014,74500,3300,
2014,56510,3900,
2014,36631,4300,
2014,95000,6900,
2014,69000,5250,
2014,85301,12360,
2014,53900,29000,
2014,75000,6000,
2014,75578,7000,
2014,46676,7750,
2014,51349,2930,
2014,34233,22500,
2014,39626,40660,
2014,28637,5530,
2014,84000,6850,
2014,98000,6100,
2014,52000,6200,
2014,45617,5850,
2014,59000,4750,
2014,72469,32520,
2014,57539,7750,
2014,68400,13500,
2014,53817,7560,
2014,59327,3250,
2014,81001,10900,
2014,44612,4070,
2014,52400,5360,
2014,32283,5410,
2014,39000,6250,
2014,24000,5210,
2014,35000,52000,
2014,26000,5500,
2014,68365,3770,
2014,48997,5210,
2014,31130,5750,
2014,90000,2800,
2014,75000,3300,
2014,60000,45000,
2014,97000,17950,
2014,44000,4300,
2014,61566,5850,
2014,61730,19940,
2014,29000,4250,
2014,58972,6500,
2014,58000,17000,
2014,65000,6000,
2014,102865,30500,
2014,45600,8250,
2014,102001,23580,
2014,47439,4490,
2014,18776,4750,
2014,23000,19900,
2014,87000,7400,
2014,56838,5150,
2014,45000,4750,
2014,56501,17710,
2014,42083,1680,
2014,43628,3160,
2014,60000,3900,
2014,100000,25000,
2014,76551,7250,
2014,61297,4350,
2014,46559,3750,
2014,32000,5550,
2014,61000,2980,
2014,48000,16250,
2014,75000,7500,
2014,3000,90000,
2014,57464,5750,
2014,72000,17250,
2014,85000,23000,
2014,41210,4400,
2014,122800,5650,
2014,250000,10900,
2014,96848,4620,
2014,92247,12500,
2014,60000,6250,
2014,35165,22000,
2014,65000,11950,
2014,56058,4950,
2014,69192,6250,
2014,47000,3900,
2014,68865,4800,
2014,71000,4500,
2014,25000,3950,
2014,7000,5350,
2014,58470,3900,
2014,37000,2800,
2014,66500,5700,
2014,36000,16000,
2014,48241,4500,
2014,52431,3010,
2014,31446,4660,
2014,50000,45000,
2014,81768,5690,
2014,33000,3250,
2014,41000,18500,
2014,14799,4140,
2014,58000,3990,
2014,58000,3000,
2014,66000,30000,
2014,51134,4720,
2014,72618,8000,
2014,28469,24370,
2014,197000,5000,
2014,45700,2420,
2014,87143,12500,
2014,45239,7090,
2014,74219,10750,
2014,93321,6250,
2014,86091,10090,
2014,50000,12000,
2014,40206,7220,
2014,60952,5910,
2014,58000,3250,
2014,42109,4250,
2014,29000,26000,
2014,71300,4250,
2014,44000,4300,
2014,18050,1000,
2014,74345,8000,
2014,10500,5900,
2014,51553,5980,
2014,17000,2100,
2014,61922,5300,
2014,44999,25000,
2014,31200,3900,
2014,42000,24950,
2014,118218,31410,
2014,62000,7250,
2014,21701,3380,
2014,45800,7500,
2014,89000,5850,
2014,68000,6750,
2014,135670,6550,
2014,58000,7500,
2014,41000,8000,
2014,48656,5500,
2014,79000,4150,
2014,46000,5900,
2014,71899,7250,
2014,40000,5750,
2014,41000,8000,
2014,22000,4110,
2014,57000,5480,
2014,45000,37900,
2014,41681,4550,
2014,60000,4350,
2014,56002,6100,
2014,62322,4900,
2014,55730,15210,
2014,38000,3490,
2014,13710,4750,
2014,34670,2900,
2014,58003,5750,
2014,29063,25750,
2014,31897,4690,
2014,75180,5250,
2014,15000,3900,
2014,32000,30500,
2014,36000,3700,
2014,76414,4950,
2014,69000,5450,
2014,58000,32000,
2014,38999,32500,
2014,45710,23680,
2014,108000,5500,
2014,71000,6200,
2014,32000,7990,
2014,23500,3900,
2014,97439,4410,
2014,81609,5550,
2014,28000,31750,
2014,117000,15500,
2014,59508,1260,
2014,88511,8250,
2014,48000,3250,
2014,90000,8000,
2014,103000,5250,
2014,41000,3140,
2014,74624,5650,
2014,59885,20110,
2014,47000,64750,
2014,34987,5950,
2014,88000,27000,
2014,30000,24500,
2014,17000,4250,
2014,31045,5650,
2014,9200,5750,
2014,93144,17150,
2014,24300,4550,
2014,84677,3000,
2014,112827,10500,
2014,52951,5650,
2014,122000,16000,
2014,42315,4790,
2014,40000,6490,
2014,65000,8990,
2014,45155,6500,
2014,39163,14700,
2014,37600,22500,
2014,64042,5700,
2014,90000,7900,
2014,39000,3490,
2014,57004,5350,
2014,76126,6600,
2014,62549,2950,
2014,60000,6000,
2014,65000,3990,
2014,51000,21500,
2014,40000,22000,
2014,52000,3750,
2014,21000,4750,
2014,48425,3400,
2014,50000,2500,
2014,51000,13000,
2014,56549,7200,
2014,36967,3640,
2014,70000,8250,
2014,84000,5250,
2014,51240,29520,
2014,40000,24000,
2014,37000,3450,
2014,70000,11850,
2014,28000,4650,
2014,52000,2700,
2014,59000,6500,
2014,18000,3350,
2014,30000,8000,
2014,53340,4350,
2014,57000,5490,
2014,58000,6500,
2014,65630,21750,
2014,48094,7250,
2014,42000,5940,
2014,55619,8300,
2014,68010,5250,
2014,27365,4750,
